dayofyear,weather_wdwprecip,wdwmintemp,wdwmeantemp,wdwmaxtemp
107,0.08,62.510000000000005,73.99199999999999,85.47200000000001
108,0.08,64.06,74.298,84.532
109,0.08,61.760000000000005,71.44800000000001,81.13
110,0.07,61.541999999999994,72.09400000000001,82.64
111,0.12,64.79400000000001,74.072,83.35
112,0.08,66.764,75.174,83.58
113,0.12,66.86800000000001,75.122,83.374
114,0.08,63.07000000000001,73.536,83.994
115,0.08,65.19200000000001,74.854,84.51
116,0.11000000000000001,65.70599999999999,75.81,85.912
117,0.08,65.89200000000001,75.86999999999999,85.842
118,0.08,67.33,77.404,87.476
119,0.04,65.458,74.814,84.162
120,0.08,65.48833333333333,75.71,85.92666666666666
121,0.04,66.08999999999999,75.46166666666666,84.83166666666666
122,0.04,66.315,76.72833333333334,87.14166666666667
123,0.04,67.62,77.17,86.71000000000001
124,0.04,67.444,74.03999999999999,80.634
125,0.08,65.654,73.442,81.22999999999999
126,0.07,62.67,73.872,85.074
127,0.04,62.73,74.166,85.6
128,0.08,65.00333333333333,75.46,85.91166666666668
129,0.08,66.076,77.452,88.822
130,0.08,66.655,78.21,89.76333333333334
131,0.12,69.894,78.106,86.316
132,0.08,69.55166666666666,76.93666666666667,84.315
133,0.08,69.218,76.664,84.106
134,0.11000000000000001,70.61,78.192,85.772
135,0.08,68.17999999999999,77.99333333333334,87.805
136,0.08,69.87,78.356,86.838
137,0.08,69.13,78.19800000000001,87.264
138,0.12,69.94800000000001,78.964,87.97999999999999
139,0.08,71.33,80.04333333333334,88.755
140,0.12,71.395,79.76,88.12166666666667
141,0.11,72.33,80.74166666666666,89.14999999999999
142,0.12,70.92666666666666,80.33666666666666,89.74333333333334
143,0.16,70.65,79.282,87.912
144,0.12,70.024,78.574,87.116
145,0.15,69.61666666666667,78.88166666666667,88.14
146,0.16,68.76333333333334,78.69,88.61333333333334
147,0.16,70.08,79.28200000000001,88.47999999999999
148,0.2,70.718,80.386,90.054
149,0.19000000000000003,72.77,81.08999999999999,89.40833333333335
150,0.20000000000000004,72.61333333333333,80.23166666666667,87.84833333333334
151,0.20000000000000004,72.16833333333334,81.33666666666666,90.49666666666667
152,0.24,72.11833333333333,79.65833333333333,87.195
153,0.27,72.42166666666667,79.23,86.03500000000001
154,0.28,73.20166666666667,81.44,89.67
155,0.23000000000000004,74.268,81.824,89.376
156,0.28,73.26,80.28333333333333,87.30000000000001
157,0.27,73.03333333333333,79.99166666666666,86.94833333333334
158,0.28,73.42999999999999,79.912,86.39
159,0.28,71.92999999999999,80.80333333333333,89.67166666666667
160,0.27,72.07000000000001,79.184,86.298
161,0.32,72.55,80.29400000000001,88.03
162,0.27,73.262,80.498,87.732
163,0.32,73.36,80.77166666666666,88.175
164,0.31,72.77833333333334,80.84666666666666,88.91333333333334
165,0.32,72.45666666666666,81.01666666666667,89.56833333333333
166,0.31,72.46833333333333,80.73333333333333,88.995
167,0.32,72.60833333333333,81.48333333333333,90.35666666666667
168,0.31,74.935,82.41000000000001,89.87666666666667
169,0.32,72.99166666666667,81.87333333333333,90.74833333333333
170,0.3499999999999999,73.55499999999999,81.925,90.29
171,0.32,74.785,82.825,90.86166666666666
172,0.31,74.70333333333333,83.21166666666666,91.71499999999999
173,0.28,74.67333333333333,83.88166666666667,93.085
174,0.31,75.205,84.42833333333333,93.64833333333333
175,0.28,75.395,84.38333333333333,93.36833333333334
176,0.27,75.47666666666667,84.145,92.80333333333333
177,0.28,74.80833333333334,83.05833333333334,91.30166666666666
178,0.27,74.54857142857142,83.35571428571428,92.15857142857143
179,0.28,75.03166666666667,82.62166666666667,90.20666666666666
180,0.31,74.14333333333333,82.68666666666667,91.22666666666667
181,0.28,75.06,82.94833333333334,90.83166666666666
182,0.28,74.72833333333334,83.47166666666666,92.21166666666666
183,0.27,75.50166666666667,83.61666666666666,91.72666666666667
184,0.28,74.70333333333333,82.69833333333334,90.68833333333333
185,0.27,74.50500000000001,83.015,91.52333333333333
186,0.28,74.17,82.53833333333334,90.90166666666666
187,0.27,74.71833333333333,82.13166666666667,89.54
188,0.28,75.03500000000001,82.89999999999999,90.75999999999999
189,0.24,75.53,82.92142857142858,90.30571428571429
190,0.27,75.41571428571429,83.60857142857142,91.79714285714286
191,0.24,75.57142857142857,83.71714285714286,91.85571428571428
